chromosome,start,end,coverage
III,139,140,325
III,140,141,331
III,141,142,341
III,142,143,337
III,143,144,354
III,144,145,350
III,145,146,361
III,146,147,326
III,147,149,352
III,149,150,345
III,150,151,358
III,151,152,357
III,152,153,361
III,153,154,364
III,154,155,334
III,155,156,327
III,156,157,362
III,157,158,359
III,158,159,370
III,159,160,344
III,160,161,360
III,161,162,344
III,162,163,356
III,163,164,345
III,164,166,365
III,166,167,355
III,167,168,373
III,168,169,372
III,169,170,386
III,170,171,385
III,171,172,357
III,172,173,351
III,173,174,365
III,174,175,360
III,175,176,362
III,180,181,361
III,181,182,350
III,182,183,372
III,183,184,373
III,202,203,470
III,231,232,387
III,245,246,380
III,253,254,404
III,254,255,399
III,255,256,424
III,256,257,416
III,258,259,399
III,259,260,401
III,260,261,356
III,261,262,397
III,262,263,399
III,263,264,390
III,264,265,394
III,265,266,393
III,266,267,397
III,267,268,373
III,268,269,330
III,270,271,333
III,272,273,346
III,273,274,324
III,274,275,331
III,278,279,350
III,279,280,344
III,280,281,350
III,281,282,335
III,282,283,372
III,283,284,373
III,284,285,363
III,285,286,380
III,286,287,379
III,287,289,395
III,289,290,381
III,290,291,378
III,291,292,394
III,292,293,391
III,293,294,387
III,294,295,330
III,295,296,363
III,296,297,361
III,297,298,345
III,298,299,351
III,299,300,349
III,300,301,350
III,301,302,343
III,302,303,325
III,304,305,351
III,305,306,345
III,306,307,329
III,309,310,341
III,310,311,333
III,312,313,333
III,313,314,328
III,314,315,332
VIII,213783,213784,325
VIII,213784,213785,333
VIII,213785,213786,330
VIII,213786,213788,329
VIII,213788,213792,330
VIII,213792,213793,337
VIII,213793,213794,340
VIII,213794,213795,338
VIII,213795,213798,337
VIII,213798,213799,334
VIII,213799,213800,335
VIII,213925,213926,331
VIII,213926,213927,337
VIII,213927,213928,331
VIII,213928,213929,335
VIII,213974,213975,325
VIII,213975,213976,324
VIII,213976,213977,329
VIII,213977,213978,326
VIII,213986,213987,327
VIII,213987,213988,331
VIII,213988,213991,332
VIII,213991,213993,333
VIII,213993,213994,332
VIII,213994,213995,335
VIII,213995,213996,342
VIII,213996,213998,341
VIII,213998,214001,340
VIII,214001,214002,341
VIII,214002,214003,340
VIII,214003,214004,339
VIII,214004,214007,338
VIII,214007,214008,336
VIII,214008,214009,337
VIII,214009,214010,336
VIII,214010,214012,337
VIII,214012,214013,336
VIII,214013,214014,335
VIII,214014,214015,331
VIII,214015,214018,325
VIII,214022,214024,324
VIII,214024,214025,327
VIII,214033,214034,327
VIII,214036,214038,324
VIII,214038,214039,327
VIII,214039,214040,339
VIII,214040,214041,337
VIII,214041,214042,345
VIII,214042,214043,340
VIII,214043,214044,345
VIII,214044,214045,352
VIII,214045,214046,355
VIII,214046,214047,430
VIII,214047,214048,427
VIII,214048,214049,423
VIII,214049,214050,416
VIII,214056,214058,408
VIII,214063,214065,426
VIII,214065,214067,423
VIII,214068,214069,417
VIII,214069,214070,419
VIII,214071,214073,390
VIII,214074,214076,400
VIII,214079,214082,386
VIII,214086,214087,391
VIII,214087,214088,390
VIII,214088,214090,392
VIII,214090,214091,389
VIII,214091,214095,386
VIII,214095,214097,387
VIII,214097,214098,389
VIII,214099,214101,395
VIII,214101,214102,396
VIII,214102,214103,405
VIII,214103,214106,404
VIII,214107,214108,410
VIII,214108,214109,406
VIII,214109,214111,405
VIII,214111,214112,428
VIII,214112,214114,429
VIII,214116,214117,451
VIII,214117,214118,450
VIII,214118,214119,460
VIII,214119,214120,463
VIII,214123,214125,431
VIII,214125,214126,415
VIII,214126,214127,417
VIII,214128,214130,423
VIII,214130,214132,425
VIII,214133,214135,426
VIII,214135,214136,428
VIII,214136,214137,432
VIII,214138,214139,419
VIII,214139,214143,418
VIII,214146,214148,440
VIII,214150,214152,459
VIII,214152,214153,463
VIII,214153,214155,464
VIII,214162,214163,508
VIII,214163,214164,509
VIII,214165,214167,517
VIII,214167,214170,514
VIII,214170,214171,513
VIII,214173,214174,515
VIII,214174,214175,517
VIII,214175,214177,514
VIII,214177,214178,515
VIII,214178,214179,516
VIII,214179,214180,520
VIII,214180,214181,521
VIII,214182,214183,521
VIII,214185,214188,523
VIII,214192,214194,506
VIII,214198,214199,421
VIII,214199,214200,419
VIII,214203,214205,432
VIII,214205,214207,435
VIII,214217,214219,462
VIII,214225,214227,459
VIII,214230,214232,470
VIII,214233,214235,469
VIII,214238,214240,472
VIII,214242,214243,489
VIII,214243,214244,490
VIII,214250,214252,525
VIII,214252,214253,524
VIII,214259,214260,532
VIII,214263,214264,511
VIII,214264,214265,510
VIII,214265,214267,505
VIII,214274,214276,468
VIII,214276,214277,469
VIII,214277,214279,468
VIII,214280,214283,459
VIII,214285,214287,504
VIII,214290,214291,541
VIII,214291,214292,542
VIII,214292,214293,553
VIII,214293,214294,551
VIII,214299,214300,555
VIII,214300,214301,553
VIII,214301,214304,537
VIII,214304,214305,556
VIII,214305,214306,555
VIII,214309,214310,506
VIII,214310,214312,505
VIII,214312,214313,506
VIII,214315,214317,508
VIII,214317,214318,507
VIII,214318,214322,506
VIII,214322,214323,505
VIII,214323,214326,499
VIII,214326,214327,504
VIII,214327,214328,503
VIII,214328,214330,504
VIII,214332,214333,498
VIII,214333,214334,497
VIII,214336,214337,498
VIII,214337,214338,496
VIII,214339,214340,492
VIII,214340,214341,490
VIII,214341,214343,487
VIII,214343,214348,472
VIII,214348,214349,470
VIII,214352,214353,474
VIII,214353,214354,478
VIII,214356,214358,470
VIII,214369,214370,427
VIII,214370,214371,425
VIII,214374,214378,436
VIII,214379,214381,426
VIII,214381,214383,428
VIII,214383,214385,430
